80111000, 1000
80111030, 1030
80141070, 1070
80151080, 1080
80111150, 1150
80131180, 1180
25010330, 1210
29010330, 1210
80121210, 1210
80161230, 1230
80171230, 1230
81141230, 1230
80161240, 1240
80181240, 1240
81161240, 1240
81181240, 1240
82161240, 1240
82181240, 1240
80111250, 1250
81151320, 1320
82141320, 1320
80121330, 1330
80151380, 1380
80141390, 1390
80111400, 1400
80151410, 1410
80121470, 1470
80161500, 1500
80171500, 1500
80171510, 1510
81171510, 1510
80132030, 2030
80142030, 2030
80132090, 2090
80152120, 2120
80162120, 2120
80102140, 2140
80152170, 2170
80112200, 2200
80102240, 2240
80133000, 3000
82133010, 3010
83133010, 3010
80133020, 3020
82133020, 3020
80083033, 3033
80173033, 3033
80103040, 3040
80113040, 3040
80103070, 3070
80153070, 3070
80103071, 3071
80153071, 3071
80143080, 3080
25010332, 3090
29010332, 3090
80143097, 3097
80153097, 3097
80173120, 3120
80163130, 3130
80173130, 3130
25010334, 3140
29010334, 3140
80143160, 3160
80153160, 3160
80133180, 3180
80143180, 3180
80103210, 3210
80113210, 3210
80143210, 3210
80153260, 3260
81153320, 3320
80173340, 3340
80183340, 3340
80055000, 5000
80135010, 5010
80165020, 5020
80175020, 5020
80185020, 5020
80135030, 5030
75010050, 5040
81106000, 6000
25010335, 6010
29010335, 6010
80146020, 6020
80176250, 6250
80176260, 6260
80126510, 6510
80176590, 6590
80126770, 6770
80186780, 6780
80166790, 6790
80166800, 6800
80176800, 6800
80126830, 6830
80126900, 6900
